,sigma_C1,sigma_C2,sigma_F1,sigma_F2,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_F2,epsilon_H1,mse_liq_density,mse_vap_density,mse_Pvap,mse_Hvap,is_pareto
14,0.0588806329196438,0.8455331068555845,0.21714823719617682,0.8525532135317706,0.3906931356626877,0.09306660341104131,0.8562840629361079,0.6913189539601595,0.9915488456402436,0.12835168041468928,0.5768130620798844,0.3795856387167106,0.11468973426388858,2.3980765962825052,True
15,0.5958443223155369,0.07565670911021305,0.27836817623981847,0.8292330699416905,0.7081497774332596,0.4497435280853851,0.6722787761345854,0.7022255496352096,0.9036213852522959,0.9088658596636343,0.5806314087582337,2.606052078625158,0.14547268758106696,108.75543066851965,False
16,0.6293852528606625,0.1911346381444813,0.6729952863010823,0.28237369623661057,0.45560004335886384,0.9747004571796112,0.38628439828441785,0.3522494445375327,0.43309772463596036,0.18051721601730883,0.5841826662256077,0.4084409602906023,0.03303069425992402,51.476084435572126,True
17,0.4665505033065783,0.17817720649959937,0.6544026638658732,0.06407092020748859,0.6671848015427684,0.9896252607938165,0.7155989344471919,0.4756642627188619,0.09421894423425103,0.2310707102404751,0.6307712155685754,10.378741831523344,0.0588588027254751,68.59191176687492,False
18,0.677415190736245,0.3304557087029059,0.5003169993879009,0.6315999498841938,0.3539150556941973,0.5163343758116002,0.1742795779727729,0.9155855994435773,0.12468265241530267,0.3323506803220012,0.6488135717074421,1.6476984760395397,0.004855350667287105,34.51094853393988,True
19,0.42646733389545244,0.30860421933551885,0.5819018025031657,0.7358815116811865,0.04114169189708396,0.7864648396688514,0.4961653410199876,0.7130179381908823,0.031135654947734077,0.3323427654271894,0.6745845396978972,8.494827406005786,0.40606541644850197,97.01665361771869,False
20,0.5244574757742534,0.569536824759314,0.3442751518940658,0.6397999360508478,0.7547726980840785,0.8261419326174044,0.3598882756451571,0.19477557716925692,0.9985307073239302,0.7531672576860353,0.7328557912181658,18.278448127793308,0.16391102886400294,18.870567441931758,False
21,0.16096250381245564,0.8275315564163532,0.3896066455338759,0.09334920218665016,0.7806158548756668,0.11742793817173933,0.6375194377740526,0.9099846426550968,0.4473786258309671,0.6555617081635282,0.7410585605638091,0.9477142892810256,0.012562387028208857,29.765767189347464,True
22,0.7173289729000649,0.41859853768012895,0.4416877135864261,0.41136444965688207,0.6243439726776046,0.03763694940756339,0.7279839055775246,0.7033734688485452,0.5075816350720924,0.7701476408044629,0.7700066060155875,9.586409307710309,0.16229372675123996,10.892557743321893,False
23,0.6168667195299381,0.34674388747295415,0.3492359180167043,0.9603118189846388,0.403372740414901,0.8027146129803338,0.12658316496183059,0.6700651987699245,0.2717424886520012,0.9281383252607935,0.7724906359677768,8.568104683128421,0.1617160732082262,57.65731650004703,False
