,sigma_C,sigma_F,sigma_H,epsilon_C,epsilon_F,epsilon_H
181190,0.779483977892824,0.0665394501191715,0.0332982841654869,0.957636418008379,0.729374800611921,0.261767689422617
722037,0.677347182388515,0.150875747741483,0.424541741637775,0.951635152816308,0.810018340677622,0.0887066807673363
397877,0.685446352016534,0.210328579998968,0.106160929715132,0.965168954146341,0.777598597303931,0.085410026953579
92329,0.582325391438415,0.272688607242586,0.282067563566216,0.886500001805802,0.921205158370024,0.0317925232377034
777161,0.570679145316976,0.293704475039492,0.318424011152928,0.945601438175473,0.761157417213423,0.22997359080901
532407,0.469263041177334,0.391485288178233,0.0534127551649611,0.928359082990668,0.891403934757493,0.0916128642214457
821316,0.8087505511332,0.0621053025721916,0.00443772241812202,0.998210150415328,0.557988400865467,0.751288056396019
546110,0.738451565958302,0.144209192611199,0.0800877259444227,0.776903956284383,0.93505327976523,0.294558027463621
485901,0.746343560730401,0.119668578432685,0.211689726045127,0.80735123588503,0.980585701970254,0.0958634191150893
713606,0.731320202526739,0.150433781691371,0.0776112942328608,0.822707813462915,0.86088192299171,0.314312841205078
76292,0.648479668806361,0.229287375858132,0.0636393425958492,0.913661703301262,0.858301010251027,0.111836434011235
387322,0.823256736140004,0.00727998613968404,0.0740239637638841,0.923683981865842,0.467336432029573,0.921674340881791
794822,0.68309058739209,0.210327205573689,0.225655009085069,0.794965906348756,0.890873574138838,0.273477600228811
909116,0.590671175792307,0.263511287371488,0.386432872304679,0.960593655248987,0.797811045871833,0.0983778126914639
632443,0.604520291476648,0.298929925878033,0.0111681994064931,0.964417460941916,0.551017214978433,0.737017442578754
853006,0.815173549489981,0.0336450156826994,0.176655704353733,0.842851269677993,0.997286839723927,0.103012073871474
180864,0.545917006620445,0.352358304648745,0.274974922429127,0.9202808851506,0.951760800493682,0.00137093329684458
352126,0.774579460908176,0.0951078177224236,0.0541481062327957,0.88880825829935,0.607757884993225,0.738081517445229
335308,0.836329125091773,0.00573547914189498,0.119247248102899,0.998803336958692,0.922279412560437,0.0327959415367942
204186,0.833154097332546,0.0357533131500139,0.144149014539356,0.955926868996096,0.818875995206971,0.171306101607566
754627,0.749047472843678,0.0701307640643689,0.484899085833433,0.879643817412806,0.855271945542549,0.130337706432054
394753,0.844036259496137,0.042805564404503,0.0581363375848344,0.716583520533635,0.961901974992957,0.563711045063651
623818,0.741434034450845,0.234174002318796,0.0160692692739943,0.956353441864414,0.487006448101147,0.988176973433917
54724,0.535663879594939,0.335527115935493,0.0641151059849953,0.860738308555454,0.879838078699905,0.232973492223947
708513,0.619846725208461,0.254619959793117,0.496255518959952,0.95445331330071,0.842748649010758,0.0806089323703194
318573,0.756000377134092,0.109790050930299,0.0718465268694949,0.816506698039419,0.856336560057217,0.366813865504229
330685,0.807807355433653,0.0653363531128122,0.0232957424860409,0.982201585220819,0.713966369351644,0.253192973116737
772568,0.578371544641307,0.304728030071243,0.297521029894989,0.969124338681803,0.720255440131808,0.242056084940387
848138,0.761182768943449,0.0825061497828325,0.0257831676945237,0.934028904894492,0.854012299067077,0.169938566523417
567993,0.828919444015829,0.0953564506759607,0.144871152057757,0.986456974435942,0.395070669847585,0.962967498690914
434704,0.81254172033629,0.059138036366956,0.218411279667851,0.884790152641882,0.908338440742116,0.126732184237607
699459,0.732830476133826,0.217980697649124,0.091895099346099,0.750716407042775,0.953031509038108,0.35094170307057
540166,0.806063462261392,0.0307876469669689,0.0269807252257569,0.970430363554081,0.468809113820691,0.702357944660406
98240,0.718436850884042,0.181724164702889,0.0321340626631923,0.944920468303326,0.541330879789853,0.656581681099571
533256,0.647392049322826,0.215549327136461,0.4749180762969,0.964659088026929,0.781669426330977,0.0941751789819764
764737,0.863519004906072,0.0810272635618547,0.00987983796650617,0.769102121686576,0.894497085532603,0.672561934405494
904072,0.792609954045888,0.0346969137874307,0.0928458273572369,0.962435552624792,0.860363418549774,0.155306012229238
328779,0.61872452953917,0.2672969968437,0.0701545026232088,0.958987448420077,0.625536363142292,0.485545862931956
410683,0.756837187096096,0.0780874160160258,0.152547553188002,0.832007298807085,0.985453834429344,0.0360841792907919
184356,0.739237063060339,0.250110513692295,0.0381297419816175,0.932937415931832,0.523463121122617,0.981827083015376
552335,0.689481427715069,0.163528939261363,0.181981825251845,0.939237798025041,0.777888662944118,0.113288861831649
309701,0.59213597570906,0.292214473996814,0.408168630929488,0.944133495422894,0.867998669265165,0.0516416813502267
695306,0.732410725836547,0.163492043603442,0.0469811237992614,0.693579560989971,0.983868548756808,0.44681884588049
570147,0.72497856366718,0.115374289674453,0.212606049034635,0.963873490760793,0.665873933835959,0.258053087790845
269220,0.641523289365942,0.221273485592041,0.132515314412594,0.921834071534994,0.833004033380807,0.101773379898353
232250,0.674410372764654,0.137655910868768,0.707636154229773,0.984258329625626,0.865047520234103,0.0430420192579604
95531,0.698401306279124,0.188166597182224,0.0377394326846933,0.831225660714865,0.838004497120565,0.402343163686968
25779,0.700504898833965,0.156264951282704,0.174617148491156,0.888714085836702,0.887565507848184,0.0117067466807154
345817,0.781275250986805,0.0968012410732997,0.305435814504989,0.961514158274415,0.444838354269771,0.721049988885395
