,sigma_C1,sigma_H1,epsilon_C1,epsilon_H1,temperature,density
29,0.32747692194408,0.25750547423487147,0.548780766251245,0.0703755019894247,210,529.7605444492332
30,0.328133699122075,0.28490282379030313,0.6233508089420341,0.08172849926683391,230,448.256039600293
31,0.328133699122075,0.28490282379030313,0.6233508089420341,0.08172849926683391,210,473.7985379925607
32,0.328133699122075,0.28490282379030313,0.6233508089420341,0.08172849926683391,290,346.9092709031798
33,0.328133699122075,0.28490282379030313,0.6233508089420341,0.08172849926683391,270,390.43809309565006
34,0.328133699122075,0.28490282379030313,0.6233508089420341,0.08172849926683391,250,421.03425859203384
35,0.3283947674622838,0.2652989805859094,0.5974050799033811,0.06250690966694117,290,159.88967842879106
36,0.3283947674622838,0.2652989805859094,0.5974050799033811,0.06250690966694117,230,485.30899588520543
37,0.3283947674622838,0.2652989805859094,0.5974050799033811,0.06250690966694117,210,515.7893646753965
38,0.3283947674622838,0.2652989805859094,0.5974050799033811,0.06250690966694117,270,393.9297920441696
39,0.3283947674622838,0.2652989805859094,0.5974050799033811,0.06250690966694117,250,446.56658871689893
40,0.330556995195327,0.2520606261749314,0.4895722106716923,0.07651694011456985,290,60.71698792907782
41,0.330556995195327,0.2520606261749314,0.4895722106716923,0.07651694011456985,230,498.9637430719038
42,0.330556995195327,0.2520606261749314,0.4895722106716923,0.07651694011456985,250,453.4906724816545
43,0.330556995195327,0.2520606261749314,0.4895722106716923,0.07651694011456985,210,535.1262902792829
44,0.330556995195327,0.2520606261749314,0.4895722106716923,0.07651694011456985,270,385.1191771498332
45,0.33079929724922347,0.24765107078364018,0.5166552432209853,0.06698029853559175,230,511.90640929141557
46,0.33079929724922347,0.24765107078364018,0.5166552432209853,0.06698029853559175,290,61.87367448061728
47,0.33079929724922347,0.24765107078364018,0.5166552432209853,0.06698029853559175,270,412.3767706155124
48,0.33079929724922347,0.24765107078364018,0.5166552432209853,0.06698029853559175,210,550.5898513330677
49,0.33079929724922347,0.24765107078364018,0.5166552432209853,0.06698029853559175,250,469.39167453015057
