,sigma_C1,sigma_C2,sigma_F1,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_H1
210687,0.4880897745128572,0.48345200918624626,0.543171799735128,0.2909874765086087,0.24826497778338816,0.6976781843907136,0.5331932005578881,0.9484832039302701
237751,0.9335807415947821,0.22160480415032097,0.5387027727440293,0.2875169908768476,0.19497816238000198,0.43894325995796446,0.4469491571853066,0.7547184175022694
167449,0.25437322852208405,0.6273836964564123,0.30918905561538584,0.9799885961337254,0.9006078527296861,0.5704491637213106,0.15659795146557703,0.8459158759697798
188870,0.34065265249267596,0.39170346076781426,0.3324918768140035,0.9789197501231677,0.9205656000811226,0.5111489828785268,0.5111949505077077,0.7155138813301529
176633,0.5141730276638388,0.5261116892550135,0.462733311428316,0.7367291449084066,0.9509521705639062,0.4138352467504319,0.05329086732868357,0.9257955471960081
65814,0.6503842253334323,0.4552359047662563,0.5899168630865468,0.3548732804773219,0.7138500224770602,0.47531731728319665,0.171709103742871,0.8749890056574219
132632,0.08079076638677415,0.8173258937936022,0.37514336738590626,0.7281110523634544,0.9140802030307896,0.3313175909341818,0.6431062758268073,0.5460997355564283
31910,0.7385857366009602,0.4290569729117289,0.5796191740792788,0.16215585367071314,0.5014474953124612,0.6748634219317394,0.1767724660792979,0.8936539088185139
145511,0.5105968907442778,0.19138229114794927,0.6218416415710856,0.06773709176203814,0.5041390531138139,0.6755592721808014,0.3877353299393734,0.8520120460644759
170280,0.845302502198888,0.19926342550945708,0.4919557075145584,0.569653398665939,0.4041909461536901,0.6731520306656092,0.20939024469781733,0.7275429742520764
6730,0.9644192116585326,0.3087574754154743,0.36848108411204117,0.8059201235433255,0.5290638416260994,0.5523061829144408,0.06958714808239308,0.8132891732765548
219759,0.4817016975483619,0.3046834946332871,0.4241548894148535,0.8304137699545043,0.6807037962702505,0.635919448021846,0.40881374237420476,0.8066490653755735
239539,0.44110176808436413,0.6404504457135679,0.5198587357288933,0.45293463409005263,0.5891155456783673,0.2653571878424957,0.5275135527940222,0.9444631233246354
33388,0.954105502276345,0.4804660982137203,0.5351668790482911,0.41115259487899375,0.5543888512952594,0.29995234166728757,0.1105908625376582,0.7184383331486369
158959,0.33531159445354036,0.6940168950553157,0.32458461384394854,0.9649749231993219,0.9673184126336527,0.2257074871983069,0.9532630435548136,0.21121847412516784
86072,0.7473923640765016,0.7257970423805229,0.5123073195543331,0.3739019729283894,0.47709385109831853,0.6290627967692167,0.050768945963819444,0.8357729045655825
15059,0.9111200806549405,0.3409065902366875,0.6568960650497057,0.039565969592138844,0.5373664747394133,0.6001019053568348,0.1496675004255688,0.902772455375386
60955,0.5127323088952667,0.3384820957767613,0.6106571067181552,0.12415485175736725,0.5454060543629543,0.9679469452454976,0.1708805801320964,0.8576598821634118
