,sigma_C1,sigma_C2,sigma_F1,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_H1,sim_liq_density_240K,sim_liq_density_260K,sim_liq_density_280K,sim_liq_density_300K,sim_liq_density_320K,sim_vap_density_240K,sim_vap_density_260K,sim_vap_density_280K,sim_vap_density_300K,sim_vap_density_320K,sim_Pvap_240K,sim_Pvap_260K,sim_Pvap_280K,sim_Pvap_300K,sim_Pvap_320K,sim_Hvap_240K,sim_Hvap_260K,sim_Hvap_280K,sim_Hvap_300K,sim_Hvap_320K,sim_Tc,sim_rhoc,mse_liq_density,mse_vap_density,mse_Pvap,mse_Hvap,mse_Tc,mse_rhoc,mape_liq_density,mape_vap_density,mape_Pvap,mape_Hvap,mape_Tc,mape_rhoc,is_pareto
50,0.6518039822927342,0.8946107582587312,0.4751928293577236,0.4941164904955614,0.39510938733094775,0.11153861239836627,0.7923342710487926,0.5483117502233223,1126.327027488889,1068.7947446444443,1002.6391876766668,922.0185860377778,828.611375591111,8.689051416888889,19.093302616666666,36.670043586333335,63.90924363766668,113.02531609711112,1.924442339222222,4.344065898377778,8.329350109188889,14.172078044755557,23.123177601494444,220.90220133745333,204.38173407856584,183.98255618300973,160.23116362735243,129.04447878568817,346.5836225653473,437.62608561628446,9.561649729980882,6.926207571127496,0.8331075960732879,15.553822866060372,0.49508471446591895,43.90501059433176,0.24639142761656033,5.136843665239661,6.731860141989424,2.2985338436920695,0.20342967657780228,1.5373748529662312,True
55,0.7070781263229382,0.7072706167667032,0.5722852220079307,0.014169600542446686,0.7168568080293839,0.7888030256711711,0.07563485466062483,0.26352603511334366,1131.7348664666667,1071.1399579777778,1002.1505860055556,922.44447111,822.7199950533333,9.242216863044446,19.581573491,36.96479385866667,64.65729594555557,118.50813507100001,2.051525973811111,4.476346956555556,8.456310921066667,14.429584633844446,23.844759542077774,215.87110573847286,199.56640101155926,179.86602787586463,156.43586594467735,123.9910917227974,344.7268972947639,438.50127466774876,8.23807393752996,23.15483523195403,1.5847484855204574,0.464841714402697,1.329645848822831,56.26912164100927,0.2055319141069786,8.397914687368948,10.12762682303561,0.39654311060147035,0.3333823017335805,1.7404349577143294,True
56,0.714567430630685,0.9509308720576545,0.3495874542076015,0.8844059130979115,0.5595285116104356,0.7102231446866819,0.18261560295284526,0.06693155186275636,1142.3861856111112,1081.7379372777775,1020.7519734533334,938.6599677133332,851.3914565844444,8.563395186477777,17.53516014577778,34.987881652,57.63755224566667,105.53409261344444,1.9034715562333333,4.041289957155556,8.044992985855556,13.182269045222224,22.00771472163333,220.49786554184104,204.2716527015762,185.66194274415653,163.24084124294512,133.3386082381384,349.91948017760916,440.08826597298435,395.00296266860926,5.007820780665642,0.09053135686798666,34.12577148227457,16.317400105297363,82.5965783957051,2.014008039768247,2.820454550929575,1.8819698072664002,3.5075326279924406,1.1678848668929005,2.108646397444164,True
57,0.7492780293022112,0.18750720223910505,0.6498505825522631,0.020721032464701326,0.4651214787564237,0.8116219374180632,0.2708216408602138,0.7836290549058244,1150.7306574888887,1087.0336194555557,1021.1366188222222,943.7726227055556,842.4701625933335,8.450781524611113,17.22404266922222,33.00947499888889,59.94073223522223,101.82125005933334,1.8779116954555557,3.9560833996555553,7.628461383866667,13.45070980902222,21.589016638022223,224.70947549932856,207.45986682841396,188.3666098681214,164.30072848456734,134.5327627412128,348.2763697222729,436.0374410811659,450.6342204954899,11.159873407943493,0.012623540879565723,65.9484149955726,5.742587845826199,25.375812646218105,2.1629090147166545,3.045829722212705,0.9014137080335018,4.841090674597871,0.6928326940768127,1.1687798332171515,True
59,0.7551698132229125,0.4626313538602451,0.6310208098223088,0.06538402488722803,0.45354512794258434,0.40592141363101414,0.3863097301302755,0.8873029921683286,1117.5329896555556,1053.0813546333336,994.4518798122222,909.2203944666666,810.2541968522223,10.003463333455558,17.83348228511111,38.455308857333335,62.686520373111115,113.941433331,2.199954971311111,4.087434684733333,8.639033266844445,14.047125625966666,23.02905433751111,219.55437778139992,203.35469124016416,182.74887699668145,159.2310157775615,126.16389210624513,345.1125975465396,430.42919909875485,128.2565240573329,10.080383883963439,0.8348576613185938,6.347674472530363,0.5889065255770721,0.32581366886227525,1.128786551752818,7.603725987636061,8.907420321567272,1.3458714941956895,0.22186956558934312,0.13243640400119486,True
61,0.7725395756363992,0.3767137438983543,0.6139451409262641,0.06623037513708611,0.46156761944124003,0.49758449708202346,0.4826788801989428,0.08753206433676185,1138.2755052333334,1077.7311639111113,1008.8850268288888,933.7545249222223,832.5614688355556,8.81050596831111,18.626711493,34.19691781888889,61.94073885888888,112.17402704844444,1.9506027908111112,4.250597762144444,7.925444080066666,13.953096632133333,22.921316689411118,220.87416088424857,204.0410974637693,185.57772043252996,161.37932040623738,128.5590685549733,346.720273548995,438.40065795889075,109.17581707197527,2.2344086096648788,0.5458127398569473,18.52969635970706,0.7060596371406772,54.76973822449296,1.064375818471912,2.625733641083506,4.966306304929993,2.506984649325817,0.2429378827902783,1.7170900136637464,True
64,0.7880181705250641,0.7880095776427273,0.3699107589070637,0.9152655147707954,0.5636704197867409,0.5660256533024939,0.33661210142093595,0.11646994270230858,1139.767779411111,1080.3593260444443,1012.0336167366668,940.6580312066666,844.6901646677778,8.21743475958889,18.20294280511111,33.23726994511111,63.484642119222215,107.53808494677776,1.8314187186888888,4.177621627488889,7.708544210455555,14.16054263308889,22.271499269799996,222.5910221631927,205.7608584710277,186.68738047970277,162.60600783743524,132.42206639547402,348.7064677562442,441.3519891590519,261.7360501007919,2.073090377416576,0.3026964800994246,39.101578121475924,7.988919977088116,107.16367954912859,1.647747651690272,2.809553330860343,3.7263651496507553,3.735529461851776,0.8171816110339422,2.401853633190702,True
65,0.8090599247748406,0.037119312093674146,0.7121549815515973,0.140931958206012,0.9993369950678727,0.7080787068348109,0.08203723354028843,0.19384242663178114,1113.129923533333,1053.202947666667,986.2614255677778,914.1654605566666,817.7782630699999,8.464240026022221,17.02130182577778,33.31924785333332,63.81125914188889,110.24855652244445,1.8774375158888883,3.9155949732333335,7.661405450544445,14.034159635266668,22.403966880475554,220.61109245342502,204.81547607452865,184.43128043385502,159.74982065089307,128.81684165996543,346.7777793141071,431.7100627200703,135.04578706486956,2.1787835352913314,0.3003464954434651,15.473395182483586,0.806007696838585,0.5041890664336497,1.0781599099049683,2.602309403466378,2.8344287675849325,2.2667967824068866,0.2595638123358053,0.16474773087478228,True
66,0.8156009261933164,0.9231201542055164,0.5097178763443937,0.40909223929596544,0.9974409850998097,0.19510995096271436,0.06753047790014824,0.4040512761910245,1124.2050358555557,1065.6326141000002,1002.5968194522222,926.0336813566668,830.4529960566666,8.460928698555557,18.36877253422222,36.960948276444455,63.65826604544444,110.5051836303333,1.884617932088889,4.207585965788889,8.405096178155556,14.209699598300002,22.76316762011111,217.48305294058457,201.25521979565104,182.15262272546272,159.17744835044337,128.47369972415893,347.757045939211,437.7644361535064,19.038870566330523,4.11131096968669,0.6457302871884568,4.564860520913437,3.5233014579086164,45.7575964748642,0.40147355743069496,4.042116303462411,5.670773013334484,1.2418034664244746,0.5426870415204782,1.5694747455931277,True
73,0.8986796254215642,0.2840493806682021,0.6379465927042551,0.014800697683416039,0.35558874007644575,0.8076803036412781,0.37107665374591947,0.10767249974899695,1135.652620688889,1076.4686620555556,1010.9562015888888,932.7429794133336,843.5167397155556,8.087824937355558,16.84748078544444,32.317756256555555,54.81878040499999,98.84740476988888,1.7990887487222222,3.891507008055556,7.503673300322223,12.616749317633332,21.090772786955554,224.41683422981419,207.79776890331135,188.7048481076191,166.44300570616093,136.68539365872718,350.2959746570138,431.6606596819887,166.1147284570489,29.18535237872793,0.11526935320676597,83.60203425142285,19.500832171388197,0.43647121540541617,1.280092672162865,6.952810689932323,3.2507574880608945,5.503184281227014,1.2767360521029854,0.15328530904610313,True
