,sigma_C1,sigma_C2,sigma_F1,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_H1,temperature,liq_density,vap_density,Hvap,Pvap,liq_enthalpy,vap_enthalpy
21,0.31883538569123127,0.39526755498533345,0.30121984341518204,0.2111966653668543,0.4656030338863325,0.4897355109001278,0.20816359071573734,0.051644483776554416,260,1062.3529800666665,16.220748056222224,17.611375060483986,3.7667261213444445,-107559.72906155554,-25299.88797288889
22,0.31883538569123127,0.39526755498533345,0.30121984341518204,0.2111966653668543,0.4656030338863325,0.4897355109001278,0.20816359071573734,0.051644483776554416,300,929.0898215044446,52.418288534333335,14.267996683205626,12.1655481936,-100922.81758900001,-28792.742303444444
23,0.31883538569123127,0.39526755498533345,0.30121984341518204,0.2111966653668543,0.4656030338863325,0.4897355109001278,0.20816359071573734,0.051644483776554416,320,843.410073681111,94.06800075777778,11.882481861668792,20.47908402947778,-93142.80653588889,-34706.784671333335
24,0.31883538569123127,0.39526755498533345,0.30121984341518204,0.2111966653668543,0.4656030338863325,0.4897355109001278,0.20816359071573734,0.051644483776554416,280,1000.357459848889,31.226037349888887,16.048452992598314,7.284582550411111,-103692.177893,-27528.246727222224
25,0.3262570502469114,0.33683866768866955,0.322276227114219,0.1644545353119551,0.31209841071369093,0.478128691388914,0.28712260283411944,0.05653055883069192,240,1141.5600522555555,8.618956908266668,19.03364558942235,1.9046732492666665,-107917.91425555554,-26553.483289222222
26,0.3262570502469114,0.33683866768866955,0.322276227114219,0.1644545353119551,0.31209841071369093,0.478128691388914,0.28712260283411944,0.05653055883069192,320,831.6705715688889,98.850922067,11.345089689281508,21.08870421772222,-90714.81500522223,-37096.27947066666
27,0.3262570502469114,0.33683866768866955,0.322276227114219,0.1644545353119551,0.31209841071369093,0.478128691388914,0.28712260283411944,0.05653055883069192,300,937.3376018644445,61.293383240666664,13.86805264367478,13.735037901133333,-95612.81530944444,-33982.02175488889
28,0.3262570502469114,0.33683866768866955,0.322276227114219,0.1644545353119551,0.31209841071369093,0.478128691388914,0.28712260283411944,0.05653055883069192,280,1015.7670403477779,34.24455384522222,15.935165653823743,7.841508346566667,-100770.69430388887,-30449.57356333333
29,0.3262570502469114,0.33683866768866955,0.322276227114219,0.1644545353119551,0.31209841071369093,0.478128691388914,0.28712260283411944,0.05653055883069192,260,1081.9380475444445,17.582989465666667,17.62724398095677,4.015615235722222,-105522.59620855555,-27467.06540822222
30,0.3362678849760753,0.3537636091476653,0.2839769622138142,0.2854125096747473,0.3218702752799807,0.502905593374794,0.24254867263658073,0.06525489574110187,280,994.1112335855555,35.842022678777774,15.715298162522187,8.147412154266666,-97520.78925522222,-31218.343203888886
31,0.3362678849760753,0.3537636091476653,0.2839769622138142,0.2854125096747473,0.3218702752799807,0.502905593374794,0.24254867263658073,0.06525489574110187,300,916.1126951966668,65.05429575933334,13.655057697638327,14.357827234200002,-91237.22340811112,-35765.59372411112
32,0.3362678849760753,0.3537636091476653,0.2839769622138142,0.2854125096747473,0.3218702752799807,0.502905593374794,0.24254867263658073,0.06525489574110187,240,1121.4147485111112,7.8354491399,18.989768479247118,1.7516512031666667,-108807.12449555556,-23664.896800333332
33,0.3362678849760753,0.3537636091476653,0.2839769622138142,0.2854125096747473,0.3218702752799807,0.502905593374794,0.24254867263658073,0.06525489574110187,320,808.0773202755556,109.17385148411111,10.917102375273402,22.50493007779667,-84354.35677022222,-40805.57800666667
34,0.3362678849760753,0.3537636091476653,0.2839769622138142,0.2854125096747473,0.3218702752799807,0.502905593374794,0.24254867263658073,0.06525489574110187,260,1063.205396122222,18.319178436555553,17.493576013323544,4.194372739744444,-102389.70934355556,-28130.758325888888
35,0.3377554033070295,0.37189722901288547,0.27534911294671366,0.29512407360415255,0.5064308713072014,0.3731452972564312,0.21768499145475728,0.04557784504013112,260,1060.6031839111113,19.678209571111108,17.03505437820727,4.468402851622222,-99973.07434488888,-30350.88961544444
36,0.3377554033070295,0.37189722901288547,0.27534911294671366,0.29512407360415255,0.5064308713072014,0.3731452972564312,0.21768499145475728,0.04557784504013112,300,911.4772990499999,72.14112576711112,13.042333691256534,15.48754085317778,-86528.41792266666,-40176.94918
37,0.3377554033070295,0.37189722901288547,0.27534911294671366,0.29512407360415255,0.5064308713072014,0.3731452972564312,0.21768499145475728,0.04557784504013112,320,799.2024185888888,122.9978823132222,10.190181227379876,24.121551978681115,-77654.09678577779,-47293.58958677778
38,0.3377554033070295,0.37189722901288547,0.27534911294671366,0.29512407360415255,0.5064308713072014,0.3731452972564312,0.21768499145475728,0.04557784504013112,240,1122.6575927444444,9.270313594133334,18.492752860935845,2.054052877022223,-103849.54240377778,-28116.126136777777
39,0.3377554033070295,0.37189722901288547,0.27534911294671366,0.29512407360415255,0.5064308713072014,0.3731452972564312,0.21768499145475728,0.04557784504013112,280,988.464042441111,37.44923421988889,15.247002462323403,8.514239106788889,-95803.71130411113,-32843.49520922222
40,0.3401034823793018,0.35352337705041514,0.3153831365570492,0.2228300229050508,0.5041623198581202,0.4838515146555207,0.15496086340191245,0.08185284372076561,280,1005.4124646666667,35.02202329133333,15.722325095785223,7.980385846500001,-99396.71796755555,-30850.42113144444
41,0.3401034823793018,0.35352337705041514,0.3153831365570492,0.2228300229050508,0.5041623198581202,0.4838515146555207,0.15496086340191245,0.08185284372076561,240,1131.5251536888888,8.4253616534,18.83440169604271,1.8726727180777776,-107827.99808333334,-25758.454521888885
42,0.3401034823793018,0.35352337705041514,0.3153831365570492,0.2228300229050508,0.5041623198581202,0.4838515146555207,0.15496086340191245,0.08185284372076561,260,1072.7120466666665,19.337068188,17.34554309432606,4.3848894567,-101617.67935344444,-30090.10976922222
43,0.3401034823793018,0.35352337705041514,0.3153831365570492,0.2228300229050508,0.5041623198581202,0.4838515146555207,0.15496086340191245,0.08185284372076561,300,926.4041604511111,62.329457282777774,13.672127638430101,13.905831339022221,-94105.61389944443,-34473.645796666664
44,0.3401034823793018,0.35352337705041514,0.3153831365570492,0.2228300229050508,0.5041623198581202,0.4838515146555207,0.15496086340191245,0.08185284372076561,320,833.5064649477778,112.97909942933335,10.973698579354664,22.835686296411115,-83326.04273377778,-43276.69657055556
45,0.3435860007242728,0.39547682745783375,0.2902314811690391,0.25835780905785066,0.334271978648766,0.4110828149646989,0.175306614316676,0.07687721218634955,260,1045.3765071477776,17.528827005444445,17.209400528197083,4.035275611111111,-104336.40605755556,-27154.641559444444
