,sigma_C1,sigma_F1,epsilon_C1,epsilon_F1
112293,0.641848607429333,0.47248038523834857,0.4694236143253899,0.5015429409517331
116636,0.36406008344576596,0.453554219907623,0.43517132319285384,0.7840637141537687
113706,0.03198002764294,0.41860900276519475,0.9220275948312432,0.9817102787864462
124844,0.5687802586543339,0.45653833594650217,0.3281516434915613,0.6394434733440917
121413,0.1513668242740314,0.44780551772644056,0.7839512173763418,0.9082481432327334
19782,0.12552520418540994,0.4341461683277422,0.5718889143606247,0.9878324262568745
111457,0.214011016997833,0.43761982045106423,0.6666321093777241,0.8724358314383935
30908,0.3595604868487672,0.4412193901894702,0.5477936733405552,0.7553291732157583
89667,0.7784440977407218,0.45359222579647424,0.31200934401469327,0.4870659927658038
36723,0.052158353942904315,0.4404054911671808,0.9850244273057968,0.9567129985058346
113872,0.07927961911445625,0.4342971970125159,0.8924271799459265,0.952059548010629
2114,0.17973285066595454,0.44325134867404353,0.716391396881417,0.8976336614325124
9524,0.6416084177829062,0.4574687184635529,0.26124275065997954,0.63664940832612
18493,0.4914838090380686,0.4536358307855556,0.3842822988078357,0.6706909833433822
104889,0.18668556866582497,0.44036139732466173,0.5560889199939316,0.9370246253154373
14840,0.40406477084995174,0.45867391994185497,0.39923060947247746,0.781084476507054
131644,0.44321593203149445,0.44763937375663115,0.4958283466346741,0.6909379019010428
128534,0.09561928854116966,0.4133752517244338,0.8275870436180145,0.9384288403990207
89161,0.26302471695605534,0.4344730556976875,0.32732631987692623,0.9515875751184537
12896,0.1074234271166291,0.41580074605553735,0.8580961547864426,0.9195582062216235
98020,0.6698574421583071,0.4235170101028352,0.27765183323615117,0.594824945812031
133925,0.4469199399892743,0.43831228843283265,0.14775152268878966,0.9055159993199071
117426,0.5033730901093252,0.46420926864357426,0.3814170338988172,0.6963485491598793
129639,0.04015459371245724,0.44932150695649575,0.9103728413274866,0.9822923908220121
21304,0.11563605055116463,0.4415693715098828,0.622355878004662,0.9869835017709698
42199,0.41635339787263104,0.45798108484547473,0.4186262313600794,0.7381044823151331
19771,0.7086134581405622,0.45705541048934606,0.2510209928471988,0.596044158596518
35876,0.37998023577089485,0.47598198391907026,0.6620188609153032,0.6945110501450482
56276,0.5940744962873664,0.42556055864482156,0.23812520132539852,0.698979123149777
109032,0.7160957782489666,0.44547627464456624,0.2572122617732115,0.5905349017498752
40321,0.06921588862504238,0.45267344714138913,0.8619382546649722,0.9654749111099781
46471,0.32616811564440656,0.4352515019065345,0.24210484222194825,0.9428372505103302
30171,0.19771622738602554,0.4347205503836439,0.7111267788345482,0.8771473804623144
44223,0.4003060242157065,0.4477667501413658,0.21630572651649826,0.8818815627683376
68485,0.3586858112632046,0.45859611085114577,0.43973707765253156,0.8123813506032892
136908,0.44490176702694373,0.4426575235997646,0.29391428155902294,0.8059582264617778
50238,0.01558042211063457,0.3897206696927835,0.9532787549954408,0.9697546184904685
61879,0.40690275496766914,0.45775078595773977,0.43322596717538514,0.7689412884460833
128679,0.15045288712559146,0.4482957173046866,0.550262015625589,0.9745917773278759
82080,0.07644184817046644,0.4180534098330071,0.8214182220325569,0.965400785887891
49903,0.10674845620863833,0.45227918492942193,0.7469412341595794,0.9461272925035309
126058,0.5356509236322629,0.4284662122258946,0.1466862967714215,0.8355689133844484
65243,0.33984515542183974,0.4693830435528755,0.6505330198748599,0.7506933630745249
47361,0.40931664682442315,0.46092583710250234,0.3710431949372087,0.7921927810949511
41925,0.6669225648653316,0.4471803609543878,0.1498303199370262,0.7294696449112132
85623,0.14544998193287356,0.4604132997399258,0.8376213210853711,0.8947178340424284
7444,0.07940920730532186,0.45220507024449835,0.9139165197585434,0.928458550661008
61897,0.4284167777110303,0.4648246367400562,0.45411509152116514,0.7376733987336324
103420,0.295689051478628,0.4420012952926553,0.5432382831915938,0.8326283557218608
107458,0.7088848434233553,0.44010467727211355,0.11048985759857954,0.7415066364145197
62161,0.6211539569065032,0.45949019173215877,0.324695637445604,0.5911296064067496
28669,0.6262620582299628,0.47513221348241436,0.4363945689221612,0.5228870368068413
32603,0.6592594178573488,0.46711989600987996,0.30515897699869887,0.5935898295066236
74235,0.11747036425395423,0.43211470961470744,0.8815602633952522,0.9169288323467943
102012,0.33597960217603734,0.4341748583198731,0.42735084653995686,0.835519885465935
8087,0.5134016288670318,0.4350709374443158,0.11171760728647827,0.8891728803325967
115512,0.01579726932086731,0.44635253710913925,0.9402835302259059,0.9761519547490508
80381,0.7018424583250295,0.4562884275935587,0.37410361088517796,0.5115729968717555
5574,0.4454413051007903,0.4739914720751198,0.5066859515019086,0.6928395043677585
65499,0.1620758464355869,0.4607774738046992,0.7773592947016602,0.8909761064904197
93085,0.5939989137937058,0.44923288192622796,0.16270477713557085,0.7776322561177791
109683,0.26279450247256253,0.46231761255064213,0.5975288017119115,0.8503929932613568
64311,0.6640403894967843,0.4723965922650866,0.4011097777707031,0.5086704060803736
104048,0.5132082435400093,0.4780115648462624,0.4791818421722575,0.6258545567215296
113142,0.5783732598202996,0.4498184750467214,0.24736714449843045,0.6841046334086848
58402,0.5218337019324231,0.47012883146296425,0.4744298334558728,0.6319494429409818
27600,0.4579775030024031,0.4373380325779155,0.16169313441863664,0.8903713491467362
52697,0.3932036606756797,0.4375875950418845,0.2539018030710981,0.8792870935177622
124045,0.7010416301584295,0.4518967362165981,0.2017445092170466,0.656999274566749
111653,0.4232761735077842,0.45008990434292834,0.40972589596261044,0.7637706007417346
85997,0.1834675840063697,0.43914700573778903,0.5022805104776299,0.9619294877395642
122930,0.5160765292527343,0.470873402187604,0.455241724978985,0.6198068665287937
16754,0.45861500784560055,0.45273392673949225,0.2720144974232571,0.8114564257594797
133866,0.6509235470886311,0.4477881969500705,0.14442741159758998,0.7502938542354146
81692,0.25587860426651615,0.44990657189983224,0.608631542652097,0.8568439674332227
78515,0.44146658618104445,0.451063640842396,0.2034475873277991,0.8683997813767712
52283,0.3695288058929341,0.41945711915592737,0.30361824847485674,0.858647434307037
8077,0.5200866587300816,0.44655863549864266,0.15111211876785383,0.8488400907402511
108106,0.3910175639905575,0.4365857317333161,0.5748320618868759,0.7057617180920052
129272,0.29946952603896604,0.4502391622096282,0.4670674072980022,0.8641044161486325
103073,0.2656802186004324,0.4442769781443952,0.5256332537314303,0.874079829488237
