,sigma_C1,sigma_F1,epsilon_C1,epsilon_F1
41604,0.8814937228006331,0.36569745624232003,0.32748977719863587,0.33280778773939595
290731,0.8090638798453069,0.396357918461878,0.3418543818989931,0.3770232491063117
52047,0.10379899040020865,0.40279935041425924,0.8674741065012208,0.8713730966218801
372021,0.45793102015352516,0.42335136724896016,0.11904774049125434,0.9013522637609134
244079,0.02088581102912985,0.3897912749122651,0.7059413046832804,0.9881964857990868
246722,0.8835985019632163,0.33637347518771415,0.2390834550250032,0.399867277482691
131559,0.8549999464892619,0.35872381825653327,0.7871102493757558,0.007093265648309528
317739,0.658788846150364,0.4409539792785148,0.5552613102500018,0.39954886328165756
313070,0.009913780268058295,0.3992633810802949,0.8216120697021153,0.9982454037372691
83545,0.5687675860060049,0.4191687097696891,0.0749971791818049,0.855104390987818
192367,0.8320325068670898,0.38977593622486745,0.0316223436689527,0.7370964124856176
44810,0.7123683958672342,0.413479551866592,0.06797496701151025,0.7615381379364418
302385,0.8516933303711797,0.3638775232684101,0.4454952063681097,0.2604678420348696
52604,0.5074891690044381,0.4338638702029283,0.8081146243087493,0.4134084361376448
63655,0.9354924760375438,0.30504423600283787,0.04759407409612314,0.6304727217535894
207710,0.6994977939331216,0.4147895306264962,0.5718536513303453,0.31245883483894993
176320,0.8715880256763031,0.3365481783056844,0.3577409287417925,0.29809317698377713
233132,0.5466916871396432,0.42118575693911714,0.6027054382343873,0.4611268377010179
42976,0.4192081714122822,0.43109351222671133,0.8451097635005769,0.5018216988598982
344046,0.3726174809054108,0.38431837973893446,0.31359064912682916,0.7800192634042011
60237,0.9834807734426263,0.21960996438959002,0.33494930667350636,0.24245782772018565
230087,0.8002741645324702,0.3557163588374679,0.04820492484894883,0.7074548178267378
293280,0.7156202643914131,0.40357453770027224,0.30519408451551805,0.4816182369665269
138781,0.9499421173370258,0.2778735924499292,0.1500148655889857,0.46109062380232013
98511,0.12714569278271262,0.38036931682024294,0.504952979453031,0.946816841857552
167389,0.894862173056077,0.38660484249430843,0.23868200923865732,0.4361535893539053
209925,0.22353536513558667,0.4009431361327957,0.2393302601511027,0.9961740523455331
344114,0.27001264908873457,0.3898906159582911,0.40932841352121146,0.8521961452715865
276388,0.6023923525448763,0.44903861580837967,0.9134681612101822,0.25539495779400007
26688,0.8683550981713034,0.35457776425792414,0.7247541681257029,0.035977869968621574
270168,0.17248541043832064,0.414053868605496,0.5322838437810467,0.9041791807823419
341822,0.9224796642701766,0.2954139366814394,0.07080825796753171,0.5770927104589169
316211,0.14480331661432305,0.41642050508047035,0.7916443630520309,0.8631380899443264
166123,0.7867647220904463,0.3784261321659624,0.1268232748287637,0.59736518352794
176998,0.11584354291955744,0.41110809481507565,0.8160125631838918,0.8914324763378024
4104,0.18188393635578745,0.4002641947106357,0.3460647535407125,0.9791982201872853
289536,0.832232571805858,0.3645308672209323,0.4718662750953146,0.2455258563721639
104482,0.19037509496337812,0.40171637950958067,0.3245515860271544,0.9514240696400154
150348,0.9114592296261478,0.31139900052375646,0.6805855924053219,0.024112951594493014
47968,0.7519265823087729,0.39896217200864914,0.5086291894108957,0.29666449348448753
297435,0.6578255136121794,0.4154173094741561,0.038834611334941864,0.8496463080838196
312971,0.21290346886058645,0.3933786730371132,0.6171060079590539,0.8104403518873624
91667,0.8094121133308875,0.385454228085439,0.2318373057263955,0.4717593801136697
16924,0.9013090938284959,0.33820178687996805,0.5639244651368143,0.13352100599447128
308332,0.4955690032979085,0.38943513399896,0.2712520370385831,0.7082409604067407
311806,0.6066173586974258,0.40425425913990276,0.36701797677273085,0.5410148322188258
310666,0.8327779471957008,0.3916274371225587,0.04101983341374445,0.7216831354895955
148375,0.11091177021611384,0.3874927486249854,0.7370073530677935,0.8848792127210012
184107,0.7013306030230667,0.4339139182512837,0.9006242071316871,0.13277333462449645
288739,0.3705164302000648,0.42544861977062487,0.20193502979460728,0.9008044919329066
179364,0.07957088497022433,0.3873513399354119,0.7394704779199265,0.9348220039823113
327328,0.7717526175570227,0.39501391023973786,0.3316384073864788,0.4298212480939292
72975,0.38247904012751527,0.4231984340618664,0.32764296928711456,0.8184032220909075
319270,0.9413500866970346,0.2836227500100053,0.07745223508152156,0.5609318873325315
76006,0.9645768476068479,0.3285601903174965,0.06714699333668836,0.614283243509552
70039,0.40985005936273167,0.4485236000986142,0.777426425157716,0.5682179430920441
53471,0.05428167737743261,0.3968951718691334,0.7453219948648192,0.9727970602656277
255709,0.9769716465298447,0.25560846976285767,0.41439327930567454,0.19249595727736948
237902,0.6703833627659882,0.453240250777411,0.8968216964900478,0.19111261542141364
32645,0.6259340462573804,0.4574834540390442,0.45982920518624626,0.5095728920036797
292323,0.8117007320105686,0.4319237396608261,0.539202004993247,0.26258159133100684
61768,0.6412021789887742,0.400763213964953,0.259249192937896,0.5813111402127714
137954,0.28468655675955906,0.42918545504270117,0.4124636475259756,0.8583501208017947
62550,0.05736459094859941,0.37455897051559883,0.5750327843051397,0.9835577520905877
136515,0.6821822172568124,0.439357946644446,0.25027569099146,0.6120232265551021
89876,0.5594954521083544,0.3979467178858099,0.14477966538307768,0.7847019034928743
10186,0.4916955121227316,0.43618815658021254,0.7044474777895756,0.4968210074097035
323228,0.4270022707772437,0.44104561426536076,0.864352120996123,0.5020980858845775
6790,0.5157423680727927,0.38119759473730014,0.15714312357740293,0.7650739177322378
159973,0.6475417476677346,0.3893640713590507,0.22154455107251575,0.6197109319866526
219756,0.6317539221766133,0.4371743399751218,0.23564988306782955,0.6475775485062751
253279,0.5950180041411977,0.40894452301884326,0.009287059352233933,0.9086608011041409
357750,0.9664456842469016,0.3380554318062651,0.11502091461048321,0.542354806890703
