,sigma_C1,sigma_F1,sigma_H1,epsilon_C1,epsilon_F1,epsilon_H1
12,0.7657986347949135,0.17766989246551285,0.844671601972408,0.9497422083343053,0.7396211008743948,0.8922707142149296
681,0.9477138460870418,0.039083631961688604,0.6965618104022143,0.9579753536044036,0.22875384382263003,0.938077682154368
2439,0.8718558346506747,0.17996832241998084,0.8327602637801069,0.8901831233513027,0.8312292292901405,0.8644156368681857
2033,0.9528036816477247,0.00041351384463838377,0.7090342909358872,0.9723970636142666,0.2810303598786222,0.9264907697270123
347,0.7997241016273322,0.2255293741263322,0.8288737124062695,0.9119216787830984,0.3154173659865583,0.9529812000927702
1042,0.8343187858626966,0.18320965425021474,0.8532365833675691,0.9564813548668214,0.2673717415504361,0.9842760388408047
3184,0.8605231917261181,0.2977651044858909,0.701274078848056,0.9767091390802389,0.6592886422915902,0.7380629520990976
1728,0.8013467141518865,0.3202501757369987,0.7991919703701249,0.994064809165962,0.5024342222230552,0.7516347615574274
1205,0.9192686298001417,0.1621017408677022,0.7362645516503562,0.8192661198683803,0.7648022137335571,0.8903021150594768
2013,0.8793752229632795,0.397759362471714,0.5836641963461103,0.9953529949286081,0.47635723414756664,0.9789754478550785
1617,0.7833763462558577,0.30209009549393334,0.7931116343883509,0.9872290253572735,0.6454033424194892,0.8907271289588456
2244,0.7584061261040458,0.2619216595371047,0.7832911618372472,0.8292633413755031,0.9469482618499562,0.9604849202508263
1339,0.8808217051518705,0.20294528409556997,0.7988648000419545,0.7867963657726523,0.9170157547006706,0.9423747424344963
2949,0.9344620445606846,0.12048307259118538,0.7453977746628269,0.916866732472996,0.7513279181853808,0.8077765041731303
1572,0.8963427984418658,0.151030961376824,0.7730776784236579,0.8560577729926221,0.8582852647107669,0.7069810000384285
3094,0.8842932408267471,0.14975596594734086,0.6933134846738912,0.8539461960914988,0.45079234324762896,0.9999710436192669
905,0.8469640492967622,0.5297217826087763,0.44302285028672245,0.9292235398853321,0.8326618401966237,0.9943945011882949
1781,0.9357778658141533,0.16107353859571044,0.710081080554567,0.9654785241353131,0.8219184155503939,0.6735304999593456
1035,0.7792643781092475,0.042844886232259946,0.8676115047254969,0.725386867961826,0.9597823934352876,0.9097089282308531
1627,0.7239137164871131,0.18909735097196217,0.8319143139937184,0.953312905424477,0.6785136119790222,0.934767919104665
2792,0.8817872447040715,0.1810373409327144,0.8220233228024771,0.9017021533714183,0.9331480749165897,0.739883358351317
369,0.8240998170412717,0.4661294388106523,0.6745900184995263,0.9140245683710926,0.9956293171092238,0.6727226982934913
279,0.8973250939985944,0.18481795455867422,0.7531031283431004,0.923571729246426,0.3785735447297797,0.8393330395020763
1437,0.874199107638497,0.4529636868629707,0.5918405472271325,0.9303417363251648,0.8291333127352382,0.8702680867311176
2343,0.8536145713797728,0.04781397761053319,0.8766846589324873,0.991060179611343,0.10606038852879028,0.9173674816983444
2328,0.8812886223589741,0.34147449249446576,0.6551756455122139,0.8440846306410513,0.9764648844904931,0.8815700757024867
1710,0.8849309374252695,0.09066324344711943,0.8088642092919586,0.9963464734419938,0.38020583845859635,0.8927082363310856
2297,0.9380453099528208,0.298197452730462,0.6001343293134834,0.8895162501797717,0.8212870222188386,0.8926383555635145
