,sigma_C1,sigma_F1,epsilon_C1,epsilon_F1
1292,0.8421252082652623,0.4203528863513276,0.1024429954256303,0.6470424393398881
1186,0.8413192471552847,0.3672198928208924,0.5141761235920929,0.2236400755438493
114,0.5915220385890638,0.4239618079011752,0.3675955964306135,0.5794001008912726
1067,0.7818819335203007,0.3701477971898188,0.6698023695360751,0.1385390320959181
420,0.1412916383671871,0.3831332531773361,0.6757880707166543,0.8796360685566798
507,0.6264852654818882,0.4203909215403396,0.0718883530551095,0.8385313479185442
1330,0.1894516603103526,0.3678602906467073,0.6290399456054856,0.8278746903158194
481,0.1291851441241051,0.398123399584851,0.9336930988145014,0.8237512725624793
1483,0.4428350380899831,0.3919524148914055,0.0839873666591502,0.8872008472893145
672,0.2314654331410201,0.4298406137043111,0.2516118862368992,0.9957048645814462
861,0.2406675546179036,0.4335760573161647,0.6031689596887795,0.8474623622222869
371,0.6139360495748238,0.4371179671713186,0.7426406697122427,0.327525721419906
1230,0.5580051993573707,0.3798537817049739,0.0061188810962941,0.886701415977769
564,0.0080920392226674,0.4080440964664554,0.8184195048075116,0.987903001092721
1854,0.7434167253218347,0.4265703921979043,0.9748042040436744,0.0237232356858145
495,0.2017992583670479,0.4207588572316923,0.9525224902848826,0.7320823781319153
1509,0.1475352092725638,0.3686417095149872,0.8364085807757048,0.8086632196035873
668,0.86796200081014,0.3830469923152099,0.0106062606571227,0.749515471653622
469,0.7933663226588828,0.4179651782001448,0.2480155553222209,0.5177248703029865
1720,0.9903822046811768,0.2330826860928708,0.0306522278696107,0.5869373531303711
1728,0.4408761424250425,0.3789433854968312,0.4104114180544415,0.6619820408794753
1198,0.4419789067488779,0.4092367548879696,0.7383540603042791,0.4930741908767809
741,0.347256175034785,0.4205762189264694,0.0909707776176083,0.9954746835849514
1078,0.2821536362835279,0.4243600611347997,0.1741906666383768,0.979295596944634
1804,0.5977562104637892,0.4329992855466533,0.0304948466893668,0.9408048435968942
733,0.6588192767424914,0.3864452211572136,0.3008159334617479,0.5268941403134023
971,0.0712921532102627,0.4136398489481824,0.5378923725511997,0.9916539965773672
1120,0.691536664201865,0.4827003917368081,0.9638257753282286,0.1573712595499622
115,0.927055888382585,0.3332399951098604,0.285320794604391,0.3440073790822551
1805,0.0401545937124572,0.4493215069564957,0.9103728413274866,0.982292390822012
1188,0.9212388641333784,0.2708484097215005,0.1024534053987575,0.5229314720419226
455,0.4570783135890527,0.4511347558549097,0.993281715705172,0.4067141393588455
1521,0.9830898916297742,0.360614380491409,0.1848680656692859,0.4708815512294239
165,0.5509032556141107,0.4402846751139213,0.7268978197245615,0.4105114026123231
1844,0.7384600269131757,0.3682643665922646,0.4179045139898562,0.3544176364415499
1569,0.6893519022467823,0.3588900837313069,0.2078469298293738,0.56223296217569
602,0.3956550994254842,0.409448422127198,0.6798245175177627,0.5993300645926252
1485,0.5099154462271409,0.4221515630537737,0.999256980260767,0.3129668464754194
1109,0.2929943517863272,0.3619685032907345,0.2295455552733525,0.8778379655809565
1439,0.7931302442045126,0.4256623671341275,0.0442311092506286,0.7851257441004229
728,0.2939634607401347,0.4096773268898844,0.4141342890725717,0.8139039683032443
1430,0.9938814088023104,0.2097268792678257,0.4937570706418498,0.1232701828289945
1472,0.740163798056699,0.340059283972481,0.1026091795435437,0.6249671747914419
1717,0.5547436932608634,0.3589691123202768,0.1930039953537548,0.6926911324638535
1835,0.9419039443947802,0.3927883654548768,0.3467158701943678,0.3283693472191392
475,0.9947362743220012,0.2241942668796128,0.3305672883129715,0.259204718518835
1294,0.8867720977392057,0.4047621107732412,0.6585289791153199,0.1131778885267
383,0.8532024068354438,0.3265091451758661,0.0777866807800977,0.6013257723356185
1815,0.5932211072943976,0.4381600068063302,0.1963052670622558,0.7563504230105504
177,0.4803973929202976,0.3867067365040559,0.2391113266388426,0.7395181317706851
599,0.9676262461836292,0.337952726217925,0.041697856262095,0.6656188797111685
1152,0.0851748671787317,0.3711660279927763,0.6331711625777028,0.9171759346191162
107,0.7890745269723881,0.3799907628979244,0.0663779729292775,0.705293660421127
1145,0.3897918662885937,0.4060106222229004,0.8665219107578427,0.5161934952125914
285,0.1904788553988749,0.4085493404766362,0.4250422891260937,0.9177648021464292
1185,0.910305106557274,0.3007086375042571,0.6990544245772823,0.0184054667080012
1085,0.2804890806642104,0.3941084518929998,0.8747619165974763,0.6275950621897227
779,0.5118224819847308,0.4720631218726746,0.755349663065152,0.4772894670793527
1744,0.2194526362609896,0.3393857569310963,0.2020616405967554,0.94566945303604
1725,0.111400568650543,0.4440869550261949,0.904791873519228,0.909282826322758
1710,0.8482139072800536,0.3208912524136689,0.4204065089307393,0.2354259861865845
1582,0.6559148661491238,0.401956297374781,0.9875440032667748,0.1050126590679529
836,0.7251596897209736,0.4027257568953208,0.5762840571258735,0.2839585983190612
1252,0.0076562510206123,0.4112104061711337,0.9775728809872428,0.9386649256362763
901,0.477909564985871,0.4661741312950604,0.5617334148561174,0.607851711384281
805,0.9864676483374352,0.1279744652397972,0.4999726028394258,0.0660130808541507
1168,0.2135576328288448,0.3525150842856984,0.1169386104774557,0.9994291730697072
1310,0.9980254889546144,0.169701494745794,0.212032875217144,0.3537744275882279
1371,0.6664359029392161,0.404464064886762,0.7110007465863495,0.2412105149698281
1443,0.5234666505473106,0.3372978509734426,0.0424145918376071,0.8466297436404233
1615,0.9952382532290543,0.295073754011791,0.3113662344407484,0.3164512194742197
907,0.1004734409391148,0.4325780230669667,0.739860987440748,0.94822248248261
1405,0.1966508251484835,0.3608431873730438,0.5119785623277733,0.8523696985627325
1317,0.3640600834457659,0.453554219907623,0.4351713231928538,0.7840637141537687
1187,0.8826170595974866,0.3772385131963499,0.7550619214332168,0.0439945454010982
1507,0.1064767311034645,0.3584409800664098,0.7804848133376464,0.8561465221253124
