,sigma_C1,sigma_F1,sigma_H1,epsilon_C1,epsilon_F1,epsilon_H1
392484,0.7046088706765102,0.6060153762169634,0.14264333089612527,0.9584617592092405,0.8164942858956099,0.5003926700904915
316669,0.7789565843725853,0.39848494882108215,0.41363169446172005,0.9658524975550348,0.5966643937992805,0.12021164326079267
225262,0.8739366754499913,0.16094487056301565,0.528818363005746,0.7907799122166334,0.9632474747894424,0.22081518567837313
266858,0.7832168156290352,0.2940041645231255,0.35182694201751585,0.8871068878692477,0.15097629800422674,0.3165722348835634
90594,0.6823962051027923,0.46177516006589,0.5721988239166493,0.9586816737248846,0.6830752261092982,0.5362600685378625
250576,0.8423689661399415,0.23752833133660595,0.1820721634488636,0.8595891242302124,0.8515847143512617,0.3181736373061629
147853,0.8044738482893248,0.2162465045642929,0.5970539888516625,0.9683950603943541,0.17651813910835712,0.3327795360089904
3841,0.8386090621651363,0.12513544245209113,0.7913258509404298,0.7956546134069855,0.789677155223586,0.5680512660899752
365310,0.7527938001522737,0.0570031439068853,0.8546859286086623,0.9630165749768109,0.06729639931831165,0.6891210337820728
427283,0.6413366078812422,0.481485020758047,0.4819299070432859,0.984424798003226,0.2594692425885898,0.8083950096704647
102385,0.7677636079354065,0.21733802720905465,0.7562872466855535,0.8269995720777382,0.47926247208463196,0.7738978329402475
1,0.8301317480125218,0.3079803657240651,0.17472781887371647,0.9856754871405041,0.8624717248316707,0.201505988138824
377028,0.8454776300659599,0.10645596764196325,0.26459673138637424,0.8977817627208672,0.027627286139293276,0.4260168879598558
201170,0.6649602009576909,0.4064171566329411,0.5756499281982879,0.9735982930645778,0.23350803164871084,0.7927191730426719
346838,0.870848140697355,0.07275323151797912,0.47470145306553163,0.6449772334035188,0.6908421249237966,0.6642596626359896
102116,0.8243171953574618,0.2342759462444597,0.47471621529166497,0.8124033905330261,0.5313002982385456,0.3288057398019396
444619,0.9048323949267715,0.07958228442569072,0.7993277341107062,0.9624907992609949,0.9619136584962508,0.11855918856606157
305986,0.6488642107130717,0.5860019699602641,0.046519769876230806,0.9875054475478924,0.2981739589147773,0.7016986102641556
95985,0.8892044253174567,0.010493909159817877,0.1134758258791956,0.9253240952307986,0.4790414257708613,0.5668628104104613
197116,0.8035058162564842,0.057478977944314,0.9496498723721475,0.9295397428954454,0.4186562153802998,0.7772056141415542
429964,0.6321786190269526,0.597255362946269,0.3576615066214923,0.9397310649334089,0.6104353442599945,0.8205343077646966
114030,0.7883597236317533,0.34408319778445096,0.13301489965263186,0.7633599361464444,0.424183411696568,0.7398100610467778
364899,0.8432834932470552,0.13688769814382856,0.5405040968351167,0.563259798433151,0.7342721357187217,0.8886542759528221
372625,0.8585886753686048,0.16720095991410222,0.17747185312767103,0.8979193193929464,0.5656824375983299,0.4486271555619627
51825,0.8088019092757607,0.3587385729834686,0.5912529819837317,0.9210741582517176,0.7638199235147407,0.2522506020069025
258831,0.6967187474289951,0.6320903321277178,0.17898591548256768,0.8059901154717062,0.7776474321928766,0.9309109589853976
398964,0.8452796676222211,0.22760408584667818,0.5837694140004428,0.6575874654770479,0.9212701258951411,0.6819135665544229
37415,0.7685654717013728,0.40323920697142523,0.597102980574322,0.9434359166601234,0.6827220822700059,0.40641638547531117
