,sigma_C1,sigma_F1,sigma_H1,epsilon_C1,epsilon_F1,epsilon_H1,mse_liq_density,mse_vap_density,mse_Pvap,mse_Hvap,is_pareto
742,0.7943112246396465,0.0728631779963377,0.7824667378912727,0.6771062453201316,0.49308683483460464,0.998820522518052,444.4727562084927,118.02038062109622,6.616652312367108,267.1643635122773,False
743,0.828846586390052,0.32695754480539796,0.6405112885581651,0.6730964054680867,0.8009571256435782,0.850068420463533,444.5755368395545,54.39356670631692,6.171606527552751,83.34735614490558,False
744,0.9088567390997425,0.23741595268104085,0.6206688368216629,0.9344418646918765,0.540828337549027,0.70116618068743,444.7167528308004,20.755193380679376,6.9194173631675255,2874.6859680018074,False
745,0.803304388445916,0.5497080126539198,0.563392570281063,0.9322402144648329,0.7793377781347925,0.8328926980631403,447.20090093624606,93.55661209475973,21.556384948474292,4481.939796545083,False
746,0.7113568706689949,0.5685131768992095,0.19064916096072737,0.8814574898112464,0.8513433684403423,0.38108691062295674,447.6295949078159,297.67060451835044,39.61285921647617,2151.2178211826445,False
747,0.693018563569497,0.41402551238077423,0.6056396399747119,0.8428805022926588,0.4308729957152173,0.9007839919243393,447.920314821329,398.76584237283373,39.447728298819676,1126.141835074719,False
748,0.7943522551118786,0.1328858317911268,0.821869107349813,0.9300879946217077,0.24940112355151597,0.7325495149100911,447.9496131038304,6.884101305928652,0.30036816739917954,103.03369696205307,True
749,0.8437154409921463,0.043451058826155256,0.7683366104161544,0.8395614775620377,0.7505304814714506,0.47326210851856293,448.6967591096278,71.68554088878503,3.425481838908928,111.93333005248137,False
750,0.6753110544909299,0.295961204182978,0.7463839953984546,0.9641404034330526,0.8792395146725183,0.36030551903692537,448.85616574079796,282.0158619515681,40.8657898603153,1760.8610778174873,False
751,0.8358921606796746,0.1790511612649426,0.6283585055391341,0.8962610111757898,0.18728109962882997,0.563852607620107,449.84363775632767,316.9516947711212,18.110233923389995,704.6284411313861,False
752,0.7322102052553402,0.45846435676868597,0.5032999958741401,0.8887038971737523,0.1768887374146923,0.9943591693509024,450.2064672123427,575.8764893853303,46.10307263195244,1482.696782833957,False
753,0.7577895571063354,0.5375462908714046,0.38524715700642814,0.8857813493499365,0.7340735642760914,0.7257315774078384,452.20911608488615,40.466683918691956,0.4954208630007496,346.1397886892199,False
